AI Method,Ghost Method,Time (s),Score,Level
515,RLPacMan,MyGhosts,28.78,3250,1
516,RLPacMan,MyGhosts,26.02,2180,1
517,RLPacMan,MyGhosts,39.17,2820,1
518,RLPacMan,MyGhosts,20.40,2010,1
519,RLPacMan,MyGhosts,47.58,2860,1
520,RLPacMan,MyGhosts,20.92,1630,1
521,RLPacMan,MyGhosts,17.27,1260,1
522,RLPacMan,MyGhosts,31.70,2860,1
523,RLPacMan,MyGhosts,33.68,2590,1
524,RLPacMan,MyGhosts,15.50,1900,1
525,RLPacMan,MyGhosts,39.55,3540,1
526,RLPacMan,MyGhosts,22.50,1450,1
527,RLPacMan,MyGhosts,24.82,2990,1
528,RLPacMan,MyGhosts,25.03,2700,1
529,RLPacMan,MyGhosts,21.77,1980,1
530,RLPacMan,MyGhosts,23.27,2030,1
531,RLPacMan,MyGhosts,27.30,5090,1
532,RLPacMan,MyGhosts,35.03,3970,1
533,RLPacMan,MyGhosts,18.80,2110,1
534,RLPacMan,MyGhosts,15.53,1850,1
535,RLPacMan,MyGhosts,23.95,1790,1
536,RLPacMan,MyGhosts,21.78,2010,1
537,RLPacMan,MyGhosts,24.42,2200,1
538,RLPacMan,MyGhosts,25.07,2160,1
539,RLPacMan,MyGhosts,21.37,2090,1
540,RLPacMan,MyGhosts,24.47,1720,1
541,RLPacMan,MyGhosts,22.28,1590,1
542,RLPacMan,MyGhosts,26.62,2710,1
543,RLPacMan,MyGhosts,22.40,1980,1
544,RLPacMan,MyGhosts,13.25,1200,1
545,RLPacMan,MyGhosts,32.67,2080,1
546,RLPacMan,MyGhosts,27.93,2370,1
547,RLPacMan,MyGhosts,16.85,1910,1
548,RLPacMan,MyGhosts,32.38,1800,1
549,RLPacMan,MyGhosts,21.70,1560,1
550,RLPacMan,MyGhosts,20.98,2080,1
551,RLPacMan,MyGhosts,21.28,4570,1
552,RLPacMan,MyGhosts,33.40,1590,1
553,RLPacMan,MyGhosts,31.42,2810,1
554,RLPacMan,MyGhosts,39.48,2280,1
555,RLPacMan,MyGhosts,21.08,2560,1
556,RLPacMan,MyGhosts,44.80,1950,1
